question_text,category,correct_answer,incorrect_answer1,incorrect_answer2,incorrect_answer3,
Which of the following Narrow AI systems would you want to include when building the Broad AI system for a self-driving car? ,AI,Information from the global positioning system (GPS) ,International news ,Entertainment trends,Long-term weather patterns , 
"Complete the sentence. ___________ performs tasks without human intervention and completes mundane and repetitive tasks for humans, while ___________ allows humans to make final decisions after analysing data, reports, and other types of data. ",AI,"AI, augmented intelligence ","Augmented intelligence, AI","AI, narrow AI","Augmented intelligence, narrow AI", 
Complete the sentence. Artificial intelligence (AI) refers to the ability of a machine to ________________ and ________________. ,AI,"learn patterns, make predictions","identify emotions, transfer data","secure data, create algorithms ","create algorithms, generalise information ", 
What one word best describes what AI can do?,AI,Predict,Calculate,Think,Decide, 
"Fill in the blank. __________ systems are used to predict global weather, trace pandemics, and help businesses predict future trends? ",AI,Broad AI,Targeted AI,Narrow AI,General AI, 
Which of the following is most likely to be unstructured data? ,AI,Social media posts,Ingredients for baking bread ,The breeds of entrants in a dog show,Prescriptions for patients in a large hospital , 
"In which era did machines help humans sort data into structures to reveal its secrets, that is, to reveal more insight than just simply counting to get a sum total? ",AI,The Era of Tabulation,The Era of Industrialisation ,The Era of Programming ,The Era of AI, 
"In which era did the advancements in fields ranging from cancer research to energy production show how its achievements impact people every day, and that it has exponentially increasing abilities? ",AI,The Era of AI,The Era of Industrialisation ,The Era of Programming ,The Era of Tabulation , 
Which of the following is the correct order of the three eras of computing?,AI,"Tabulation, Programming, AI","AI, Programming, Tabulation ","Tabulation, AI, Programming ","Programming, Tabulation, AI", 
In which era did computers guide astronauts from Earth to the moon and advance to handle more than one kind of instruction? ,AI,The Era of Programming,The Era of Industrialisation ,The Era of Tabulation ,The Era of AI, 
"Shelby writes a survey that includes the following question: “Do you like chocolate (circle Yes or No), and why?” 
Which of the following describes the data Shelby will collect?",AI,Both structured and unstructured data ,Structured data,Unstructured data ,Neither structure data nor unstructured data , 
Approximately how much of the world's data today is unstructured?,AI,80%,40%,85%,90%, 
Fill in the blank. Data that is not completely raw and contains elements such as tags and organizational metadata is known as _______________ . ,AI,semi-structured data,true data ,structured data ,unstructured data, 
"If names and email addresses are organised using a spreadsheet software, like Google Sheets or Microsoft Excel, which of type of data is this? ",AI,Structured data,True data ,Unstructured data ,Semi-structured data , 
Fill in the blank. Machine learning can analyse ______________ data more quickly than a programmable computer can. ,AI,dark,structured ,supervised ,triangulated , 
"Tomas is programming an app to help people find their way in his city. He programs every possible route from the university auditorium to the museum. 

Which of the following is Thomas likely using? ",AI,Programmable computing,Deep learning ,Heuristic computing ,Machine learning , 
Why does machine learning find answers in unstructured data more quickly than a programmable computer? ,AI,Machine learning can search every combination of factors very quickly,Machine learning analyses every data combination ,Machine learning uses the most sophisticated program code ,Machine learning assembles all the data into a table before calculating , 
"Complete the sentence. Machine learning is a type of AI with many advantages over programmable computers, including the distinguishing capability to _______________ and _______________. ",AI,"predict, learn","use structured data, locate solutions ","search, define","use databases, find solutions ", 
Which of the following is an example of a probabilistic calculation? ,AI,A 78% chance of being wrong,A strong feeling that you are most likely correct,An  unrealiable calculation,Wording that is probably correct, 
Fill in the blank. _____ learning occurs when the algorithm is given unlabelled data. ,AI,Unsupervised,Supervised,Reinforcement,Classical, 
YouTube and Netflix often recommend options to users. What kind of learning is used to generate these recommendations? ,AI,Unsupervised ,Reinforcement,Supervised ,Commentary , 
"You train google photos to identify people in photographs. As a result, Google photos can recognise their faces. ",AI,Supervised,Unsupervised,Transitory,Reinforcement, 
Which method of learning does an AI system use when it uses the process of trial and error?,AI,Reinforcement,Unsupervised,Supervised ,Classical , 
Fill in the blank. All supervised learning algorithms need _________ data. ,AI,labeled,unlabelled,unstructured  ,raw , 
What do AI researchers call the type of systems likely to emerge by 2050 and beyond? ,AI,General AI,AI for enterprise ,Broad AI,Universal AI, 
Tesla cars are all connected and share what they learn when autonomously driving. This is an example of which of the following levels of AI? ,AI,Broad AI,Future AI,Narrow AI,General AI , 
"What type of AI do services, such as Netflix, use to recommend offerings to users? ",AI,Narrow AI,General AI,Broad AI,AI everywhere , 
" Which of the following represents the idea that AI will more into all industries, from finance, to education, to healthcare increasing productivity and enabling new opportunities? ",AI,AI everywhere,Future AI,Broad AI,Programmable AI, 
"With the use of billions of sensors, what is the new idea that will help to improve the Earth’s safety, sustainability, and security? ",AI,Instrumented planet,Personalisation ,Narrow AI,Tabulated Earth , 
Which of the following is a key attribute of an artificial intelligence system?,AI,AI systems make predictions,AI systems have experience,AI systems are self-aware,AI systems can judge , 
"Which of the following is the level of AI that is more versatile, can handle a wider range of related tasks, and is focused on integrating AI within specific business processes? ",AI,Broad AI,Narrow AI,General AI,0, 
"You are working on an AI system to help doctors treat patients. While describing your system to a group of doctors, you are asked the following question, ""How does machine learning enable decision-making in complex scenarios, such as medical treatment choices?"". Which of the following is the best response?",AI,By providing probabilistic statements with confidence levels for different treatment options,By ignoring potential outcomes and personal experience in decision making ,By offering determinstic solutions based on fixed criteria ,By relying soley on AI systems to make treatment decisions without human input , 
Which of the following methods of learning describes how an AI system learns using trial and error?,AI,Reinforcement learning,Supervised learning,Unsupervised learning ,, 
"Which of the following types of data is categorised as qualative data, and cannot be processed and anaylsed by conventional data tools and methods? ",AI,Unstructured data,Semi-structured data,Data in a database,Structured data, 
You're working for an employer who wants to learn from social media what customers say about her products and services. Which of the following is the best reason to support moving to an AI system? ,AI,Social media data contains a mix of structured and un-structured data ,Social media data is completely unstructured,Social media data lacks complexity ,Social media data is completely structured, 
Which of the following describes how machine learning differs from classical systems in structuring unstructured data? ,AI,Machine learning offers probabilitic statements instead of binary decisions,Machine learning relies on deterministic algorithms to process unstructured data ,Machine learning relies on human judgement to structure unstructured data,Machine learning constructs a predetermined structure of routes based on a database, 
"In which of the following eras of computing did an IBM system beat a chess champion, a robot drive itself down a 131-mile desert trail, and IBM Watson beat two Jeopardy! grand champions? ",AI,Era of AI,Era of programming ,Era of tabulation ,0, 
